,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA
53,2,TUE00324,"TUB INOX 5/16""ØX110MM 1500W 127V ESPIRAL",835.5,242.48,242.48,1671.0
54,2,TUE00325,"TUB INOX 5/16""ØX110MM 1500W 240V ESPIRAL",895.5,235.56,235.56,1791.0
55,1,TUE00326,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V CHI",1264.25,0.0,319.8,1264.25
56,1,TUE00327,"TUB INOX 5/16""ØX383MMØX354MM 2KW240V GDE",1264.25,0.0,313.8,1264.25
57,4,RB00010,BOB 8020 CAL.19 1612W 127V CER-8CANALES,605.0,44.7,44.7,2420.0
58,1,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,4.02,4.02,337.7
59,2,CS12E2040A00,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",558.14,69.23,69.23,1116.28
60,2,CS12E2040A00,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",558.14,69.23,69.23,1116.28
61,3,BC00024,BC PLANA INOX 52MMX60CM 750W 220V T/TOR,1412.0,556.14,556.14,4236.0
62,3,BC00025,BC PLANA INOX 51MMX490MM 1000W 220V T/TO,1188.0,447.68,447.68,3564.0
63,6,BP00241,BAN P COMUN 74MMX50CM 750W 220V T/TOR,663.0,95.82,95.82,3978.0
64,2,TP00016,TIRA INOX 38MMX440MM 750W 230V T/TIPO H,495.8,158.4,158.4,991.6
65,8,TUA00258,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",2177.5,272.65,272.65,17420.0
66,2,BN00236,BAN INOX 58MMØX30MM 200W 230V EX1MT ALLE,505.23,161.63,161.63,1010.46
67,4,BN00237,BAN INOX 122MMØX50MM 750W460V EXT1MT STD,985.1,105.68,105.68,3940.4
68,4,TUA00364,"TUB INOX 7/16""ØX742MM U 20KW440V BRIDA6""",2644.28,0.0,795.74,10577.12
69,2,BP00245,BAN P COMUN 100CMX21MM 900W220V T/TOR,522.0,51.38,51.38,1044.0
70,1,BP00244,BAN P INOX 28MMX128MM 125W 230V T/TOR,255.01,291.72,291.72,255.01
71,10,PK31B1I1A000,"TER K 3/16""ØX1 1/2"" EXT.7MT MALLA Z/ESPA",551.25,0.0,240.87,5512.5
72,1,BP00051,BAN P A/COMUN 200MMx102MM 390W127V T/TOR,364.55,52.48,52.48,364.55
73,1,TUA00400,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",662.0,139.82,139.82,662.0
74,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,275.5,275.5,44259.0
75,3,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3,200.3,2999.72
76,10,TUE00146,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,1450.0,372.67,372.67,14500.0
77,6,BO00054,BOB 8020 CAL. 13 13.7MMØX1.5MTS GAZA30CM,1450.0,360.5,360.5,8700.0
78,6,BO00055,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",1450.0,337.97,337.97,8700.0
79,8,70001693,CARTUCHO 8MMØ X290MM 500W 220V,415.0,113.47,113.47,3320.0
80,10,TP0004,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,272.0,77.13,77.13,2720.0
81,2,BE00010,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,1025.87,0.0,115.58,2051.74
82,2,BL00011,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,1587.25,0.0,165.19,3174.5
83,2,BL00052,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,2985.36,0.0,385.71,5970.72
84,1,TUS00086,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64,85.89,85.89,566.64
85,12,TEA00058,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",431.5,95.96,95.96,5178.0
86,12,TEA00059,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",528.3,131.65,131.65,6339.6
87,1,TEE00026,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28,0.0,292.75,1880.28
88,20,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,71.25,71.25,3000.0
89,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96,38.96,98.0
90,3,TUA00410,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",830.25,363.33,363.33,2490.75
91,1,CS14B1010A00,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",473.28,27.08,27.08,473.28
92,1,TUA00350,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6,436.54,436.54,1659.6
93,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96,38.96,107.76
94,1,PK18J1F1A400,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",499.0,113.22,113.22,499.0
95,3,RP00176,REPARACION DE SOLDADURA A PLACAS TUBULAR,900.0,0.0,247.52,2700.0
96,3,TUS00064,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",1189.0,0.0,160.03,3567.0
97,3,TUA00078,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",1435.0,0.0,369.59,4305.0
98,2,CS38E1017A00,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",495.0,0.0,67.42,990.0
99,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,125.0,71.25,71.25,125.0
100,1,TP0025,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",175.0,75.89,75.89,175.0
101,2,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,0.0,1214.3,5251.0
102,2,54020219,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",2464.2,1041.08,1041.08,4928.4
103,2,93980461,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5,1298.68,1298.68,4137.0
104,1,PJ14F10B0600,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",925.6,0.0,387.87,925.6
105,1,TUE00057,"TUB INOX 7/16""Øx280mm U 9000W 240V PLACA",1517.63,435.3,435.3,1517.63
106,4,TUE00331,"TUB INOX 1/4""ØX123MM 250W220V CIRCULAR/M",498.85,0.0,24.38,1995.4
107,1,BT00005,FAB BOBINA 8020 2000W 220V BASTIDOR NVO,2629.5,167.3,167.3,2629.5
108,1,RC00024,"RC 5/16""ØX37CM 300W 110V EXT. 25CM",535.09,104.4,104.4,535.09
109,2,TUE00332,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",1195.84,0.0,336.57,2391.69
110,1,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1572.45,0.0,647.84,1572.45
111,4,TUE00063,"TUB INOX 5/16""ØX362CM 5000W220 V T/CABLE",2375.5,0.0,436.05,9502.0
112,2,TUE00129,TUE Ø 8 MM X 303 APROX 5000 W 220 V,2080.85,0.0,449.35,4161.7
113,1,TUE00008,"TUBU"" 5/16""Øx21.5cm 2700W220V 3PZ COBRE""",2118.0,0.0,406.61,2118.0
114,1,TUA00401,"TUB INOX 7/16""ØX26CM 2700W 240V ""M"" BUSH",1250.0,281.94,281.94,1250.0
115,4,CAS00066,CAS INOX 12MMØX90MM 220W 110V  EXT.15CMS,617.0,0.0,67.22,2468.0
116,2,BB00077,BB INOX 40MMØX60MM 300W 240V EXT.30CM,510.0,0.0,37.76,1020.0
117,1,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38,13.38,197.5
118,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1000.0,0.0,226.23,1000.0
119,4,TJ00087,"TER J 3/16""ØX5"" EXT4MT RES/MALLA INOX",425.2,0.0,130.2,1700.8
120,2,TJ00088,"TER J 3/16""ØX9"" EXT4MT RES/MALLA INOX",485.5,0.0,137.08,971.0
121,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0,220.0,385.0
122,2,CBS00002,"CAR BAJA INOX 5/8x97CMS 2400W 440V CABL""",3892.24,492.92,492.92,3892.24
123,1,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,13.38,13.38,197.5
124,1,TUA00407,"TUB INOX 5/16""ØX25.5CM 2500W110V CLIP PL",871.5,174.76,174.76,871.5
125,3,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,0.0,106.0,1125.87
126,2,65014-38,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,246.94,246.94,2200.0
127,1,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.18,90.18,565.4
128,4,MA00001,"TERMOPOZO COBRE 3/8""x126mm 1/2""A1/2"" NPT",351.64,156.83,156.83,1406.56
129,4,TUA00412,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",988.25,0.0,146.88,3953.0
130,4,TUA00414,"TUB INOX 7/16""ØX26CM 1100W127V BUSH",828.69,0.0,186.95,3314.76
131,4,CS12J1075A00,"CAS INOX 1/2""ØX5"" 750W127V EXT.30CM",657.58,0.0,99.32,2630.32
132,1,TUE00329,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL TAP",1125.0,130.78,130.78,1125.0
133,1,TUE00330,"TUB INOX 1/4""ØX16CM 700W127V ESPIRAL PLA",1125.0,134.36,134.36,1125.0
134,15,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,189.47,189.47,13701.02
135,1,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0,220.0,462.0
136,1,TUA00405,"TUB COBRE 5/16""ØX225MM 2400W115V TAP",2665.3,395.14,395.14,2665.3
137,1,TUA00406,"TUB INOX 5/16""ØX20CM 2000W 220V ""J"" TAP",1579.6,141.65,141.65,1579.6
138,12,CBS00001,"CBS 90° 3/4""Øx39.9/16 2600W400V EXT. 55""",1800.18,526.27,526.27,21602.16
139,4,BN00112,"BN 3""ØX5""ANCHO 1000W 220V CIERRE STD",533.6,0.0,150.79,2134.4
140,10,RPISTOLA01,PISTOLA DE AIRE 3500W 220V,720.0,96.78,96.78,7200.0
141,3,TUA00408,"TUB INOX 5/8""ØX150CM 2590W 256V REC/ALET",1877.65,533.27,533.27,5632.95
142,7,P231B1AF0500,"PT-100 3/16""ØX 1 1/2"" CON 3/8""-A1/2""NPT",972.0,319.99,319.99,6804.0
143,2,TUE00334,"TUB INOX 5/16""ØX307MM  2100W220V ""M"" CUA",1899.18,0.0,164.55,3798.36
144,2,TUA00400,"TUB INOX 7/16""ØX210MM 800W127V ""U""  BUSH",1022.5,168.4,168.4,2045.0
145,3,TUA00415,"TUB INOX 7/16""ØX58CM 8000W240V ""U"" CLAMP",3859.99,0.0,418.59,11579.97
146,1,TEA00004,"TEA K"" 18mmØx540mm CABEZA MARINA""",1054.0,0.0,665.36,1054.0
147,4,TUA00082,"TUB ""U"" 8mmØx650mm 10kW 440V 2pz TAPON",2399.01,0.0,569.1,9596.04
148,3,TUE00098,"TUB INOX 1/4""Øx185MM 900W 120V ""M"" T-90°",1143.25,78.83,78.83,3429.75
149,3,RC00026,"RC 3/8""ØX175MM 375W125V EXT25CM",568.65,0.0,83.5,1705.95
150,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,9159.75
151,3,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,0.0,143.89,2116.5
152,2,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",813.1,222.0,222.0,1626.21
153,2,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.85,113.59,113.59,715.7
154,10,CBS00099,"CBS INOX 5/8""ØX13"" 1700W 240V EXT.30CM",866.7,153.97,153.97,8667.0
155,6,TK00062,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,514.25,112.64,112.64,3085.5
156,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,307.5,87.1,87.1,307.5
157,2,CBS00100,"CBS INOX 3/8""ØX90CM 1300W 240V EXT.1MT",1046.11,0.0,297.59,2092.22
158,3,PK31B1G10000,"TER K 3/16""ØX1 1/2"" EXT.3MT MALLA S/ZAP",300.0,0.0,111.63,900.0
159,3,BN00055,BN INOX 111MMØX85MM 1000W127V CIERRE STD,1991.0,182.75,182.75,5973.0
160,4,CS38M1050A01,"CAS INOX 3/8""ØX7"" 500W 127V EXT1MT",759.17,0.0,106.18,3036.68
161,4,CS38N1050A01,"CAS INOX 3/8""ØX8"" 500W 127V EXT1MT",788.05,0.0,150.48,3152.2
162,2,BL00053,BAN M/LUNA 129MMØX99MM 450W440V C/STD TO,420.0,36.92,36.92,840.0
163,1,BN00232,BAN INOX 197MMØX152MM 3500W 440V T/TORNI,945.0,299.62,299.62,945.0
164,3,BP00246,BAN P COMUN 218MMX85MM 800W440V 2BA T/TO,345.0,31.72,31.72,1035.0
165,2,BP00247,BAN P COMUN 219MMX275MM 1800W440V 4B/TOR,994.64,155.39,155.39,1989.28
166,2,BP00248,BAN P COMUN 197MMX31CM 2000W440V 4BA TOR,738.4,145.21,145.21,1476.8
167,1,BN00115,BAN A/COMUN 263mmØx115mm 2800W 220V STD,1452.18,150.74,150.74,1452.18
168,6,TUS00052,"TUB INOX 1/4""Øx280mm 200W 120V RECTA ZAP",197.5,17.39,17.39,1185.0
169,1,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,336.93,106.55,106.55,336.93
170,6,CM12G2075A00,CAM INOX 12.5MMØX100MM 750W 240V EXT30CM,568.26,0.0,89.85,3409.56
171,1,RP00177,REPARACION DE PLANCHA 4500W 240V ESP,2259.43,0.0,143.11,2259.43
