,CANT,CVE_ART,DESCR,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA
229,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
230,2,TUE00332,"TUB INOX 1/2""ØX2018MM 4000W 250V ESP/BUS",598.0,338.28,338.28,1196.0
231,2,TP0009,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 6 MT,445.0,160.14,160.14,890.0
232,2,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,303.45,106.55,106.55,606.9
233,2,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,369.25,137.48,137.48,738.5
234,5,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05,119.05,1775.0
235,4,CBS00056,CART INOX 11.43mmØx450mm 300W 48V CABLE,681.75,0.0,125.12,2727.0
236,10,70001694,CARTUCHO Ø 8 MM X340 MM 500W 220 V,407.0,127.62,127.62,4070.0
237,8,70001698,CARTUCHO ESC.Ø 8MM X 325 MM 500W 220V,488.0,120.29,120.29,3904.0
238,7,70001692,CARTUCHO Ø8MM X 260MM 500W 220V,543.0,113.69,113.69,3801.0
239,8,70001690,CARTUCHO Ø 8 MM X 500 MM 500 W 220 V,509.0,161.1,161.1,4072.0
240,3,70001684,CARTUCHO Ø 10 MM X 460 MM 500W 220V,1365.0,131.71,131.71,4095.0
241,4,P214F1AB0600,"PT-100 1/4""ØX4"" CON1/2""-1/2"" NPT C/MARIN",1015.0,0.0,459.8,4060.0
242,4,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.32,88.95,88.95,2249.28
243,1,TUE00339,"TUB INOX 1/4""ØX135MM 700W127V ESPIRAL 4V",1125.0,7342.41,7342.41,1125.0
244,2,BP00206,BAN P INOX 250MMX290MM 2000W 220V EXT2MT,1485.0,0.0,440.7,2970.0
245,30,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,339.43,339.43,44259.0
246,4,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,29.29,29.29,2500.8
247,2,CS12G1040A00,"CAS INOX 1/2""ØX3 1/2"" 400W 127V EXT.30CM",565.4,90.42,90.42,1130.8
248,2,TUS00113,"TUB INOX 1/4""ØX80CM 800W127V RECTA T/ZAP",498.77,0.0,69.55,997.54
249,1,TUE00176,"TUB INOX 5/16""ØX1550MM ""CLIP"" 7000W 220V",2508.7,0.0,470.09,2508.7
250,2,PJ14F1L1A800,"TER J 1/4""ØX4"" CON1/2""-1/2"" NPT EXT.8MT",1028.35,0.0,373.69,2056.7
251,1,TUE00132,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.2,0.0,559.98,1265.2
252,3,TUS00005,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",799.1,0.0,178.49,2397.3
253,1,TUE00338,"TUB INOX 3/8""ØX158MM 2000W 127V CIRCULAR",1156.5,0.0,139.69,1156.5
254,3,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44,173.44,2976.75
255,3,TUS00029,"TUB INOX 5/16""Øx310MM ""U"" 800W110V T/TOR",358.7,0.0,48.23,1076.1
256,1,BB00017,"BB Ø1.766""X1.432""  250W220V 3H TPLICA 1M",1498.16,0.0,208.27,1498.16
257,1,BB00018,"BB Ø4.5""X1.265"" 500W 220V 3 H T PLICA 1M",1599.5,0.0,688.35,1599.5
258,1,BN00002,"BAN MICA 1.766Øx1.432"" 250W 220V C/TERM""",1455.25,0.0,375.4,1455.25
259,1,BN00003,"BAN MICA 4.500Øx1.265"" 500W 220V C/TERM""",1398.79,0.0,415.77,1398.79
260,2,BL00038,BAN M/LUNA 220MMØX215MM 2950W230V ALLEN,1472.0,0.0,601.65,2944.0
261,3,PJ31Q1G3A100,"TER J 3/16""ØX1/2"" EXT3MT C/PLICA BAY1GIR",398.85,236.98,236.98,1196.55
262,3,TUA00426,"TUB INOX 7/16""ØX34CM 1800W240V ""U"" ALE-B",1229.88,0.0,449.84,3689.64
263,2,PK14G1D1G300,"TER K 1/4""ØX8"" EXT.1MT RES-PIA C/CLAVIJA",1020.0,0.0,87.59,2040.0
264,4,TUE00075,"TUB INOX 5/16""ØX700MM 780W 220V ""M"" ESPE",625.2,0.0,43.81,2500.8
265,4,TUE00198,"TUB INOX 5/16""ØX795MM 780W 120V T/TORNI",468.97,33.9,33.9,1875.86
266,1,BC00026,BC PLANA 13CMX20CM 1500W240V OCTAGONAL,2524.5,688.31,688.31,2524.5
267,4,TUE00307,"TUB COBRE 1/2""ØX218MM 700W 120V ELIPSE",1030.0,236.68,236.68,4120.0
268,4,TUE00308,"TUB COBRE 7/16""ØX218MM 1500W 120V ELIPSE",1094.6,210.46,210.46,4378.4
269,2,PT00082,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",2625.5,1214.3,1214.3,5251.0
270,6,BS00006,BP S/BLINDA 300MMX698MM 2500W 230V 18BA,3890.0,918.12,918.12,23340.0
271,6,BS00008,BP S/BLINDA 300MMX698MM 2000W 230V 18BA,3890.0,0.0,1133.81,23340.0
272,1,BB2X2ST,"BOQUILLA 2X2""  350W 240V""",462.0,220.0,220.0,462.0
273,1,RP00181,REPARACION DE BRIDA DE 125KW 1240V DELTA,4315.0,0.0,41.26,4315.0
274,3,TUE00337,"TUB INOX 5/16""ØX42CM 3650W280V ESP/PLAC",992.25,173.44,173.44,2976.75
275,2,TK00028,"TER K 1/4""Øx79CM DOBLEZ 90° C.STD MAC/HE",519.0,78.24,78.24,1038.0
276,1,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,512.36,211.36,211.36,512.36
277,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,382.76,137.48,137.48,382.76
278,1,TUA00428,"TUB INOX 1/4""ØX443MM 500W220V RECTA-PLAC",560.04,0.0,134.94,560.04
279,15,TUA00143,"TUB 7/16""X46CMS U 1500W 480V. ESPECIAL",913.4,235.81,235.81,13701.02
280,1,TUA00102,"TUB INOX 7/16""Øx1080MM ""U"" 5000W220V BUS",1255.2,370.94,370.94,1255.2
281,2,P7J6C1D1A030,"AEROPACK J 1/16""ØX2"" T-1/8""ØX11/2"" EXT1M",337.7,0.0,36.53,675.4
282,2,TUA00431,"TUB INOX 7/16""ØX49CM 3000W127V ""U"" BUS",965.5,0.0,269.59,1931.0
283,4,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.0,87.1,87.1,1060.0
284,1,TUE00007,"TUB INOX 1/4""ØX370MM 7500W 220V ""U"" PLAC",2265.0,435.26,435.26,2265.0
285,4,CS38F1010A00,"CAS INOX  3/8""ØX3"" 100W127 0V EXT.30CM",574.0,67.47,67.47,2296.0
286,5,WRE-2137,BAN INOX 170MMØX55MM 1300W 440V C/STD,1103.0,122.14,122.14,5515.0
287,2,BN00242,BAN INOX 57MMØX45MM 250W260V CINT/ALLEN,577.8,152.37,152.37,1155.6
288,9,TUE00343,"TUB INOX 3/8""ØX75CM W MAX 480V ""M"" ESP",1330.68,0.0,428.56,11976.12
289,1,BO00056,BOB 8020 CAL.16 19MMØX1170MM 5300W 240V,800.0,216.65,216.65,800.0
290,4,TEE00017,"ELEM K CAL. 8 x12"" C/FUNDA CERAMICA",2218.27,1246.35,1246.35,8873.08
291,1,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8,143.8,470.0
292,10,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",594.83,326.23,326.23,5948.3
293,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44,212.44,999.91
294,1,TUE00341,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3,317.3,980.6
295,1,TUE00341,"TUB INOX 1/2""ØX293MM 2500W240V ""M"" ESPEC",980.6,317.3,317.3,980.6
296,3,TUA00430,"TUB INOX 1/2""ØX34CM 2000W 240V ""U"" ALETA",1405.25,269.6,269.6,4215.75
297,2,CS14D2017B20,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",812.53,0.0,111.07,1625.06
298,1,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,375.29,87.1,87.1,375.29
299,20,TEA00006,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",355.0,119.05,119.05,7100.0
300,5,TUE00042,"TUB. ESP. 5/16 1200W 120V TERM 90° 3""""",1666.85,1666.85,1666.85,8334.25
301,5,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",470.0,143.8,143.8,2350.0
302,1,RM00017,"BOBINA 8020 110W 110V EN/TUBO INOX2""X30""",4650.5,2644.78,2644.78,4650.5
303,6,TUA00134,"TUB ""J"" Ø 8 MM X 240 CM 5500 W 220 V",1551.2,303.31,303.31,9307.2
304,2,PT00063,PT-100 6MMØX110MM CONECTOR EXT15MTS,1548.0,673.14,673.14,3096.0
305,1,TUA00432,"TUB INOX 7/16""ØX60CM 9000W240V 2 1/2""NPT",4508.2,0.0,1783.73,4508.2
306,2,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0,220.0,924.0
307,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76,38.96,38.96,215.52
308,1,TUA00371,"TUB INOX 5/16""ØX430MM 6000W 230V",2377.0,417.45,417.45,2377.0
309,10,CAS00075,"CAS INOX 1/2""ØX51.5CM 400W240V EXT1M SOG",839.28,261.77,261.77,8392.8
310,15,CAS00076,"CAS INOX 5/8""ØX72CM 2670W 480V EXT.30CM",1078.5,0.0,351.08,16177.5
311,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0,220.0,220.0,385.0
312,4,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29,377.29,9438.8
313,9,TUA00241,"TUB INOX 5/16""ØX23CM ELIPSE 985W120V BUS",970.0,145.03,145.03,8730.0
314,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44,212.44,999.91
315,2,TUA00222,"TUB INOX 5/16""Øx40CMS U 2000W 220V TAPON",1215.5,358.0,358.0,2431.0
316,2,TUE00333,"TUB INOX 5/16""ØX437MM 1000W127V ""M"" ESPE",1910.0,97.81,195.77,1910.0
317,4,TUA00421,"TUB INOX 3/8""ØX38CM 6000W240V ""U"" PLACA",1520.25,525.52,525.52,6081.0
318,2,TUE00103,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65,248.65,2700.0
319,5,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",375.0,44.14,44.14,1875.0
320,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0,220.0,220.0,462.0
321,2,TUE00340,"TUB INOX 5/16""ØX56CM 5KW240V M ESP/CABLE",1410.6,281.63,281.63,2821.2
322,5,BS00011,BP S/BLINDAJE 94MMX102MM 250W120V 25CM C,358.0,0.0,30.77,1790.0
323,2,TUA00124,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",1608.0,541.44,541.44,3216.0
324,6,TUS00115,"TUB INOX 1/4""ØX29CM 160W127V RECTA/PLACA",448.6,0.0,70.12,2691.6
325,1,BL00022,BAN M/LUNA 208MMØX108MM 530W120V C/CINTU,710.0,112.11,112.11,710.0
326,20,PT00047,"PT-100 3/16""Øx3 1/2"" LONG EXT3MTS,3HILOS",647.1,0.0,244.02,12942.0
327,2,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,761.07,761.07,6106.5
328,4,TP0010,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 4 MT,337.0,106.55,106.55,1348.0
329,2,TUA00429,"TUB INOX 5/16""ØX46CM 3000W240V 11/4""NPT",1953.26,626.37,626.37,3906.52
330,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",498.0,143.8,143.8,996.0
331,1,TUA00419,"TUB COBRE 7/16""ØX495MM U 3000W127V PLAC",2005.5,327.61,327.61,2005.5
332,1,BE00016,BAN M/LUNA 123MMØX107MM 600W 230V ESPECI,568.97,0.0,60.56,568.97
333,2,BL00054,BAN M/LUNA 208MMØX143MM 600W110V T/TOR,850.0,174.73,174.73,1700.0
334,6,BO00058,"BOB DSD CAL.10 3/4""ØX1085MM 4000W127V",932.5,300.96,300.96,5595.0
335,1,TUE00207,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",1615.0,1179.22,1179.22,1615.0
336,1,TUA00422,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43,319.43,1179.25
337,1,TUA00422,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25,319.43,319.43,1179.25
338,1,TUA00424,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02,417.02,1848.4
339,1,TUA00424,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4,417.02,417.02,1848.4
340,4,BP00089,BAND P INOX 175MMx90MM 300W 110V TORNILL,497.2,66.08,66.08,1988.8
341,1,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,212.44,212.44,999.91
342,2,P114I1D4A000,"PT-100 1/4""ØX12"" EXT1MT TEFLON 2 HILOS",659.48,98.65,98.65,1318.96
343,6,BP00257,"BAN P INOX 11/2""X17"" 800W240V ESP-1/4""",375.0,64.98,64.98,2250.0
344,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5,38.96,38.96,189.0
345,2,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.0,51.36,51.36,306.0
346,2,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0,38.96,38.96,196.0
347,1,RP00165,REPARACION DE BATIDOR 16.6KW 440V,14000.0,5211.65,5211.65,14000.0
348,1,TP0016,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0,222.0,222.0,732.0
349,2,TU5/16X230MM,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91,200.3,200.3,1999.81
350,10,TP0005,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08,87.1,87.1,2650.8
351,5,TUA00433,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA",2835.0,0.0,620.47,14175.0
352,2,CBE00028,"CB 3/4 X41"" DE LARGO 1300W 220 V",1247.5,0.0,376.35,2495.0
353,1,TK00034,"TER K 3/16""Øx7mm LONG EXT. 5 MTS T/PLICA",850.2,519.02,519.02,850.2
354,1,BP00259,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.3,0.0,89.76,485.3
355,1,BP00260,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3,0.0,72.34,570.3
356,4,TUA00200,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",3096.5,1282.76,1282.76,12386.0
357,2,TUE00161,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA",1784.0,116.97,116.97,3568.0
358,1,RP00182,REPARACION DE HORNO 3500W220V,7903.2,0.0,2448.37,7903.2
359,3,TUA00099,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",3349.0,0.0,1273.61,10047.0
360,2,PA00001,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",6900.0,0.0,3489.32,13800.0
361,1,TR51G1125A00,"TUB INOX 5/16""ØX120CM 1250W 127V T/TOR",585.13,97.0,97.0,585.13
362,4,CS12E2040A00,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",561.0,71.53,71.53,2244.0
363,4,CS12F2040A00,"CAS INOX 1/2""ØX3"" 400W 240V EXT.30CM",561.0,88.34,88.34,2244.0
364,3,TK00063,TK 6MMØX80CM EXT.50CM DOBLEZ 90° 4 HILOS,710.0,228.89,228.89,2130.0
365,1,BL00001,BAN M/L COMUN 137mmØx82mm 800W 220V,579.66,0.0,50.94,579.66
366,1,BP00258,"BAN P COMUN 1""X48"" 1000W 240V EXT.30CM",800.0,0.0,45.28,800.0
367,3,EE00003,RES EN CINTA NICRO4.0X0.101-2.8OHMS LAMI,395.0,0.0,4.92,1185.0
368,6,BOE00012,BOE 45MMØX1360MM 3500W440V ROCHETA,3040.48,1137.06,1137.06,18242.88
369,10,BOE00013,BOE 45MMØX900MM 3500W440V ROCHETA,2366.63,698.18,698.18,23666.3
370,1,TP0008,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,691.68,211.36,211.36,691.68
371,1,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.33,410.21,410.21,862.33
372,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.0,38.96,38.96,120.0
373,2,BO00005,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,18500.0,0.0,1560.44,37000.0
374,25,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,150.0,0.0,88.63,3750.0
375,2,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,71.25,71.25,381.04
376,2,TEA00016,"TEA K Ø3/4""X450MM NPT3/4"" CAB M STD",1850.0,0.0,710.34,3700.0
377,1,RP00184,REPARACION DE TUBO DE CUARZO 500W127V,636.21,102.22,102.22,636.21
378,3,TEA00017,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM",918.0,0.0,502.32,2754.0
379,8,BN00248,"BAN COMUN  5""ØX6"" 1800W 240V  C/ALLEN",525.0,97.46,97.46,4200.0
380,2,BN00249,"BAN COMUN 5""ØX4"" 1500W 240V C/ALLEN",495.0,172.28,172.28,990.0
381,2,BN00250,BAN COMUN 178MMØX71MM ANCHO 1300W 240V,354.5,155.02,155.02,709.0
382,1,BN00251,BAN COMUN 296MMØX71MM 2500W240V C/STD,354.5,177.36,177.36,354.5
383,3,BP00149,"BAN P INOX 11/2""x85"" LONG 2200W 220V 9BA",2198.58,216.46,216.46,6595.74
384,4,BP00150,"BAN P INOX 1 1/2"" x50"" LONG 1200W 220V",1260.48,213.66,213.66,5041.92
385,2,BE00011,"BAN P INOX 1 1/2""X12"" 240V W-MAX",780.25,37.66,37.66,1560.5
386,2,BE00012,"BAN P INOX 1 1/2""X14"" 240V W-MAX",799.12,44.54,44.54,1598.24
387,2,BE00013,"BAN P INOX 1 1/2""X16"" 240V W-MAX",821.89,48.09,48.09,1643.78
388,2,BE00015,"BAN P INOX 1 1/2""X18"" 240V W-MAX",839.43,51.09,51.09,1678.86
389,1,TP0003,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52,72.37,72.37,190.52
390,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0,220.0,435.0
391,1,TUS00116,"TUB INOX 5/16""ØX45CM 750W 120V ""U"" T/TOR",527.59,64.91,64.91,527.59
392,1,TUS00118,"TUB INOX 3/8""ØX120CM 2083W 220V ""U"" TORN",1205.0,258.43,258.43,1205.0
393,1,TP0015,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",704.5,173.0,173.0,704.5
394,18,TUE00319,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",4150.0,0.0,714.2,74700.0
395,2,151.7208,TUB INOX 8MMØX3650MM 1134W 230V RECTA,778.17,391.24,391.24,1556.35
396,1,TUA00096,"TUB INOX 5/16""ØX120MM 1200W220V ""J"" PLAC",907.5,116.73,116.73,907.5
397,3,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",165.0,48.49,48.49,495.0
398,1,TP0022,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35,410.21,410.21,862.35
399,1,TUE00025,"TUB COBRE 5/16""Øx145CM  1500W120V PLAC",1551.72,316.4,316.4,1551.72
400,1,MA00016,"MAQUINADO DE PERNO 9/32""ØX20MM LATON",538.79,6.69,6.69,538.79
401,1,RP00180,REPARACION DE CREPERA-FAB CAJA DE CONEXI,387.93,24.0,24.0,387.93
402,1,RP00171,REPARACION DE CREPERA,1020.0,258.21,258.21,1020.0
403,60,BOBINA001,BOBINA CAL.8 DSD C/TERMINALES EN INOX,1299.32,340.8,340.8,77959.2
404,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",445.0,220.0,220.0,445.0
405,12,TUA00219,"TUB INOX. ALETA 7/16""Øx693mm 2000W 440 B",1513.0,0.0,447.47,18156.0
406,12,TUS00020,"TUB INOX 5/16""Øx64CMS 700W220V.",500.5,0.0,26.95,6006.0
407,1,TUA00434,"TUB INOX 5/16""ØX25CM 1650W220V M ESP/BUS",1056.03,244.91,244.91,1056.03
408,6,CS12F1040A00,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",562.5,88.95,88.95,3375.0
409,6,CS12H1050A00,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",646.6,91.21,91.21,3879.6
410,25,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,366.1,366.1,36882.5
411,1,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,736.48,736.48,3053.25
412,10,ECQ-00972,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",1475.3,356.75,356.75,14753.0
413,3,ECQ-01444,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25,0.0,791.1,9159.75
414,18,TP00019,TIRA INOX 38MMX1012MM 2000W 240V T/TIPOH,620.0,0.0,236.1,11160.0
415,2,TUE00162,"TUB INOX. 5/16""Øx330mm U 6KW 440V PLACA",1899.85,0.0,517.36,3799.7
416,4,TUE00348,"TUB INOX 1/4""ØX355MM 4500W230V ES PLA-NV",2458.45,0.0,305.38,9833.8
417,1,TUE00105,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73,0.0,1306.63,4956.73
418,3,TUS00035,"TUB INOX 3/8""Øx810mm LONG RECTA 500W220V",657.5,88.74,88.74,1972.5
419,1,GAB00014,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18,0.0,1516.24,20887.18
420,2,TUA00376,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",7137.0,2935.26,2935.26,14274.0
421,1,TP0040,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72,137.48,137.48,435.72
422,1,TP0001,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.09,42.79,42.79,120.09
423,1,BP00251,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 1-IZQ",633.6,112.24,112.24,633.6
424,1,BP00252,"BAN P INOX 10 1/4""X4 1/2"" 350W 127V T-TO",564.71,111.07,111.07,564.71
425,1,BP00253,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 3-DER",633.6,112.24,112.24,633.6
426,1,BP00254,"BAN P INOX 9 1/4""X4 1/4"" 350W127V 2/TOR",498.65,59.54,59.54,498.65
427,1,BP00255,"BAN P INOX 10""X 4 1/2"" 350W127V 1-IZQ",616.0,110.37,110.37,616.0
428,1,BP00256,"BAN P INOX 10""X4 1/2"" 350W127V 3-DER",598.0,110.37,110.37,598.0
429,1,RP00187,REPARACION PISTOLA DE CALOR 1680W 120V,862.0,90.16,90.16,862.0
430,3,TUS00002,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",705.5,106.52,106.52,2116.5
431,4,TUS00001,"TUB RECTA 1/2øX800mm 950W 140V""",705.5,0.0,158.37,2822.0
432,1,TUE00081,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45,359.16,359.16,2278.45
433,4,TUA00175,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",2359.7,377.29,377.29,9438.8
434,1,TUS00117,"TUB INOX 7/16""ØX35CM 1500W127V ""M"" ESP",1105.6,0.0,165.15,1105.6
435,2,BC00010,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ",2400.0,360.32,360.32,4800.0
436,2,RP00150,REPARACION DE TERMOPAR,1500.0,0.36,0.36,3000.0
437,1,BB1 1/2X1/2-300W,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0,220.0,220.0,435.0
438,4,MR01934,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",938.53,0.0,161.73,3754.12
439,2,BN00064,"BAN A COMUN 133MMØx11/2"" 900W 220V C/STD",405.2,0.0,47.25,810.4
440,1,TP0026,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.76,113.59,113.59,357.76
441,5,TUS00017,"TUB INOX 5/16""x625mm 950W 220V U",625.7,0.0,91.9,3128.5
442,3,TUS00018,"TUB INOX. 5/16 Øx625mm 850W,220V U",625.7,0.0,98.64,1877.1
443,1,TP0002,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45,51.36,51.36,153.45
444,25,E1041959,"TUB INOX 1/4""ØX62"" 950W 230V",204.08,0.0,203.34,5101.91
445,4,BC00006,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA,1853.25,0.0,1140.93,7413.0
446,5,P231A1D6K200,"PT-100 3/16""ØX1"" EXT.1MT T/PLICA CLAV-3H",599.0,0.0,251.51,2995.0
447,4,65014-38,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,1100.0,0.0,183.83,4400.0
448,2,TUA00435,"TUB INOX 7/16""ØX26CM 1500W220V U 11/2""NP",1991.06,0.0,755.73,3982.12
449,1,CM10E2050A00,CAS INOX 10MMØX60MM 500W 240V EXT30CM,535.12,0.0,70.86,535.12
450,2,TUA00420,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",3929.11,0.0,1830.01,7858.22
451,1,EE00026,"FAB DE TERMOPOZO 1/2""ØX768MMLOGITUD",188.0,0.0,94.84,188.0
452,1,TU5/16X203V,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",650.0,321.87,321.87,650.0
453,2,TP0011,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0,144.4,144.4,970.0
454,1,TP0012,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0,50.54,50.54,310.0
455,3,TUA00017,"TUB COBRE7/16Øx590mm ""U"" 5000W 220V C/B""",1063.83,0.0,409.87,3191.49
456,1,TJ00046,TER J 6mmØx30mm 7 MTS DE LONG.,908.0,204.07,204.07,908.0
457,1,TP0024,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0,48.49,48.49,163.0
458,1,TUE00342,"TUB INOX 7/16""ØX47CM 9000W220V PLAC",2325.0,0.0,722.38,2325.0
459,2,TUE00103,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",1350.0,248.65,248.65,2700.0
460,2,PJ14F10B0600,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",1005.0,0.0,387.87,2010.0
461,1,PJ14J10B0600,"TER J 1/4""ØX15CM CON 1/2""-1/2"" C/MARINA",1005.0,0.0,404.78,1005.0
462,1,TUA00148,"TUB INOX 7/16""Øx80.5CMS U 12KW 240V TAPO",2849.5,1125.85,1125.85,2849.5
